Directory,Id,Test Run ID,Test Case ID,Name,Status,Executed By,Executed End,Application,Module,Requirement,Requirement Name,Defect IDs
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68001,68001,41001,Accounts Payable – Finance scenario 01,Passed,A. Sylaj,04.08.2026,SAP FI,Accounts Payable,REQ-1201,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68002,68002,41002,Asset Accounting – Finance scenario 02,Passed,M. Brinkmann,25.08.2026,SAP FI,Asset Accounting,REQ-1201,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68003,68003,41003,General Ledger – Finance scenario 03,Passed,A. Sylaj,12.08.2026,SAP FI,General Ledger,REQ-1201,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68004,68004,41004,Asset Accounting – Finance scenario 04,Failed,K. Ergün,06.08.2026,SAP FI,Asset Accounting,REQ-1201,Asset Accounting requirement,GCSAP-2104
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68005,68005,41005,Asset Accounting – Finance scenario 05,Passed,R. Petrov,27.08.2026,SAP FI,Asset Accounting,REQ-1201,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68006,68006,41006,General Ledger – Finance scenario 06,Passed,L. Haas,07.08.2026,SAP FI,General Ledger,REQ-1201,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68007,68007,41007,Accounts Payable – Finance scenario 07,Passed,S. Weber,14.08.2026,SAP FI,Accounts Payable,REQ-1201,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68008,68008,41008,Asset Accounting – Finance scenario 08,Passed,L. Haas,11.08.2026,SAP FI,Asset Accounting,REQ-1202,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68009,68009,41009,General Ledger – Finance scenario 09,Passed,S. Weber,04.08.2026,SAP FI,General Ledger,REQ-1202,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68010,68010,41010,General Ledger – Finance scenario 10,Passed,R. Petrov,17.08.2026,SAP FI,General Ledger,REQ-1202,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68011,68011,41011,Asset Accounting – Finance scenario 11,Passed,M. Brinkmann,12.08.2026,SAP FI,Asset Accounting,REQ-1202,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68012,68012,41012,Asset Accounting – Finance scenario 12,Passed,S. Weber,14.08.2026,SAP FI,Asset Accounting,REQ-1202,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68013,68013,41013,Accounts Payable – Finance scenario 13,Passed,S. Weber,14.08.2026,SAP FI,Accounts Payable,REQ-1202,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68014,68014,41014,General Ledger – Finance scenario 14,Passed,M. Brinkmann,17.08.2026,SAP FI,General Ledger,REQ-1202,General Ledger requirement,
