Directory,Id,Test Run ID,Test Case ID,Name,Status,Executed By,Executed End,Application,Module,Requirement,Requirement Name,Defect IDs
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80001,80001,60001,DF1 scenario 0001,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80002,80002,60002,DF1 scenario 0002,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80003,80003,60003,DF1 scenario 0003,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80004,80004,60004,DF1 scenario 0004,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80005,80005,60005,DF1 scenario 0005,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80006,80006,60006,DF1 scenario 0006,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80007,80007,60007,DF1 scenario 0007,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80008,80008,60008,DF1 scenario 0008,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80009,80009,60009,DF1 scenario 0009,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80010,80010,60010,DF1 scenario 0010,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80011,80011,60011,DF1 scenario 0011,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80012,80012,60012,DF1 scenario 0012,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80013,80013,60013,DF1 scenario 0013,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80014,80014,60014,DF1 scenario 0014,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80015,80015,60015,DF1 scenario 0015,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80016,80016,60016,DF1 scenario 0016,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80017,80017,60017,DF1 scenario 0017,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80018,80018,60018,DF1 scenario 0018,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80019,80019,60019,DF1 scenario 0019,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80020,80020,60020,DF1 scenario 0020,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80021,80021,60021,DF1 scenario 0021,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80022,80022,60022,DF1 scenario 0022,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80023,80023,60023,DF1 scenario 0023,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80024,80024,60024,DF1 scenario 0024,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80025,80025,60025,DF1 scenario 0025,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80026,80026,60026,DF1 scenario 0026,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80027,80027,60027,DF1 scenario 0027,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
